"davon  
 
 
 
 
 
Restlaufzeit 
30. Sep. 
1 bis 5 
über  
(in Mio. €) 
2024 
bis 1 Jahr 
Jahre 
5 Jahre","","","","","davon 
 
 
 
Restlaufzeit 
30. Sep. 
1 bis 5 
über  
2023 
bis 1 Jahr 
Jahre 
5 Jahre","","",""
"Verbindlichkeiten gegenüber Kreditinstituten 
240 
9 
231 
–","","","","","339 
2 
337 
–","","",""
"Verbindlichkeiten aus Lieferungen und Leistungen 
1.727 
1.721 
6 
–","","","","","2.374 
2.367 
7 
–","","",""
"Verbindlichkeiten gegenüber verbundenen 
55.449 
51.633 
2.230 
1.585 
Unternehmen","","","","","59.483 
54.165 
3.732 
1.585","","",""
"Übrige Verbindlichkeiten 
1.396 
1.383 
13 
–","","","","","1.222 
1.203 
19 
–","","",""
"davon Verbindlichkeiten gegenüber Unternehmen, 
2 
2 
– 
– 
mit denen ein Beteiligungsverhältnis besteht","","","","","5 
5 
– 
–","","",""
"davon sonstige Verbindlichkeiten 
1.394 
1.381 
13 
–","","","","","1.217 
1.198 
19 
–","","",""
"darin aus Steuern 
160 
160 
– 
–","","","","","111 
111 
– 
–","","",""
"darin im Rahmen der sozialen Sicherheit 
74 
74 
– 
–","","","","","91 
91 
– 
–","","",""
"Verbindlichkeiten 
58.811 
54.746 
2.480 
1.585","","","","","63.417 
57.737 
4.095 
1.585","","",""
