"(in Mio. €)","2024"
"Fremdwährungsrisiko aus Bilanzpositionen","1.294"
"davon Vermögensgegenstände","13.385"
"davon Schulden","-12.091"
"Fremdwährungsrisiko aus schwebenden Geschäften und antizipativen Transaktionen","655"
"davon erwartete Zahlungseingänge aus schwebenden Geschäften und antizipativen Transaktionen","1.099"
"davon erwartete Zahlungsausgänge aus schwebenden Geschäften und antizipativen Transaktionen","-445"
"Nettofremdwährungsposition (vor Sicherung)","1.948"
"Devisensicherungsgeschäfte (Netto-Nominalvolumen)","-2.046"
"davon mit externen Vertragspartnern","1.760"
"davon gegenüber verbundenen Unternehmen","-3.807"
"Nettofremdwährungsposition (nach Sicherung)","-98"
