"Name","Ausgeübter Beruf","Geburts-
datum","Mitglied seit","Bestellt 
bis1","Mitgliedschaft in gesetzlich zu bildenden 
Aufsichtsräten sowie in vergleichbaren in- oder 
ausländischen Kontrollgremien von 
Wirtschaftsunternehmen (Stand: 30.09.2024)"
"Jim Hagemann Snabe 
Vorsitzender","Vorsitzender des Aufsichtsrats der 
Siemens AG","27.10.1965","01.10.2013","2025","Auslandsmandate: 
- C3.ai, Inc., USA3  
- Urban Partners A/S, Dänemark (stellv. Vorsitz)"
"Birgit Steinborn² 
Stellv. Vorsitzende","Vorsitzende des Gesamtbetriebsrats 
der Siemens AG","26.03.1960","24.01.2008","2028",""
"Dr. rer. pol.  
Werner Brandt 
Weiterer stellv. 
Vorsitzender","Vorsitzender des Aufsichtsrats der RWE 
AG","03.01.1954","31.01.2018","2027","Deutsche Mandate: 
- RWE AG, Essen (Vorsitz)3"
"Tobias Bäumler²","Stellvertretender Vorsitzender des 
Gesamtbetriebsrats der Siemens AG 
und (bis 24. Oktober 2024) 
stellvertretender Vorsitzender des 
Konzernbetriebsrats der Siemens AG","10.10.1979","16.10.2020","2028",""
"Dr. Regina E. Dugan","Vorstandsvorsitzende der  
Wellcome Leap Inc.","19.03.1963","09.02.2023","2027","Auslandsmandate: 
- Hewlett Packard Enterprise Company, USA3"
"Dr. phil.  
Andrea Fehrmann²","Gewerkschaftssekretärin,  
IG Metall Bezirksleitung Bayern","21.06.1970","31.01.2018","2028","Deutsche Mandate: 
- Airbus Defence and Space GmbH, Taufkirchen 
- Siemens Energy AG, München3 
- Siemens Energy Management GmbH, München  
- Siemens Healthineers AG, München3"
"Bettina Haller²","Vorsitzende des Konzernbetriebsrats 
der Siemens AG","14.03.1959","01.04.2007","2028","Deutsche Mandate: 
- Siemens Mobility GmbH, München (stellv. Vorsitz)"
"Oliver Hartmann²","Leiter Regionalreferat 
Erlangen/Nürnberg,  
Vorsitzender des Siemens- 
Konzernsprecherausschusses und des 
Gesamtsprecherausschusses der 
Siemens AG","25.04.1968","14.09.2023","2028",""
"Keryn Lee James","Vorsitzende des Verwaltungsrats der 
OPUS Talent Solutions Ltd.","12.12.1968","09.02.2023","2027","Auslandsmandate: 
- Lane Clark & Peacock LLP, Vereinigtes Königreich 
(Vorsitz) 
- OPUS Talent Solutions Ltd., Vereinigtes Königreich 
(Vorsitz)"
"Harald Kern² 
(bis 7. Dezember 2023)","Vorsitzender des Siemens-
Europabetriebsrats","16.03.1960","24.01.2008","2028",""
"Jürgen Kerner²","Zweiter Vorsitzender der IG Metall","22.01.1969","25.01.2012","2028","Deutsche Mandate:  
- Airbus GmbH, Hamburg 
- MAN Truck & Bus SE, München (stellv. Vorsitz) 
- Siemens Energy AG, München3 
- Siemens Energy Management GmbH, München 
- thyssenkrupp AG, Essen (stellv. Vorsitz)3 
- Traton SE, München3"
"Martina Merz","Aufsichtsratsmitglied","01.03.1963","09.02.2023","2027","Auslandsmandate: 
- AB Volvo, Schweden3 
- Rio Tinto Group (Rio Tinto Limited, Australien, und 
Rio Tinto plc, Vereinigtes Königreich)3"
"Dr.-Ing. Christian 
Pfeiffer²","Innovationsmanager bei der  
Siemens Mobility GmbH, Mitglied im 
Konzernbetriebsrat der Siemens AG 
und im Gesamtbetriebsrat der Siemens 
Mobility GmbH","02.06.1969","09.02.2023","2028","Deutsche Mandate: 
- Siemens Mobility GmbH, München"
"Benoît Potier","Vorsitzender des Verwaltungsrats der 
L‘Air Liquide S.A.","03.09.1957","31.01.2018","2027","Auslandsmandate: 
- L’Air Liquide S.A., Frankreich (Vorsitz)3"
"Hagen Reimer²","Gewerkschaftssekretär beim Vorstand 
der IG Metall","26.04.1967","30.01.2019","2028",""
"Kasper Rørsted","Aufsichtsratsmitglied","24.02.1962","03.02.2021","2025","Auslandsmandate: 
- A. P. Møller-Mærsk A/S, Dänemark3 
- Lenovo Group Limited, Hong Kong3"
"Dr. phil. Nathalie  
von Siemens","Aufsichtsratsmitglied","14.07.1971","27.01.2015","2027","Deutsche Mandate: 
- Messer SE & Co. KGaA, Bad Soden am Taunus 
- Siemens Healthineers AG, München3 
- TÜV Süd AG, München 
Auslandsmandate: 
- EssilorLuxottica SA, Frankreich3"
"Dorothea Simon²","Vorsitzende des Gesamtbetriebsrats 
der Siemens Healthineers AG","03.08.1969","01.10.2017","2028","Deutsche Mandate: 
- Siemens Healthineers AG, München (stellv. Vorsitz)3"
"Mimon Uhamou² 
(seit 12. Dezember 2023)","Vorsitzender des Siemens-
Europabetriebsrats","03.05.1977","12.12.2023","2028","Deutsche Mandate: 
- Siemens-Betriebskrankenkasse, Heidenheim"
