"Ergebnis nach  
 
Steuern in Mio. €1 
Stand: 30.09.2024","","Eigenkapital in 
 Mio. €1","Kapitalanteil  
in %"
"Deutschland (46 Gesellschaften)","","",""
"Campus Erlangen Objekt 2 GmbH & Co. KG, Grünwald 
2","","222","40 7"
"Erlapolis 22 GmbH, München 
3","","72","100 5"
"evosoft GmbH, Nürnberg 
1","","10","100"
"HaCon Ingenieurgesellschaft mbH, Hannover 
7","","154","100"
"Innomotics GmbH, München 
-116","","1.326","100"
"Innomotics Real Estate GmbH & Co. KG, Nürnberg 
3","","37","100"
"KACO new energy GmbH, Neckarsulm 
-21","","50","100"
"Munipolis GmbH, München 
5","","278","100 5"
"Next47 GmbH, München 
67","","88","100"
"Nordlicht Holding GmbH & Co. KG, Frankfurt am Main 
–","","153","33 6"
"OPTIO Grundstücks-Vermietungsgesellschaft mbH & Co. Objekt Tübingen KG, Grünwald 
1","","93","100"
"RISICOM Rückversicherung AG, Grünwald 
13","","340","100"
"Siemens Bank GmbH, München 
53","","1.491","100"
"Siemens Beteiligungen Europa GmbH, München 
331","","6.226","100"
"Siemens Beteiligungen Inland GmbH, München 
-20","","27.345","100"
"Siemens Beteiligungen USA GmbH, Berlin 
–","","13.778","100"
"Siemens Beteiligungsverwaltung GmbH & Co. OHG, Kemnath 
2.494","","19.712","100 2"
"Siemens Campus Erlangen Grundstücks-GmbH & Co. KG, Grünwald 
-5","","3","100"
"Siemens Electronic Design Automation GmbH, München 
-2","","69","100"
"Siemens Energy AG, München 
48","","14.450","17 5"
"Siemens Finance & Leasing GmbH, München 
2","","142","100"
"Siemens Financial Services GmbH, München 
4","","2.035","100"
"Siemens Fonds Invest GmbH, München 
2","","15","100"
"Siemens Healthcare Diagnostics Products GmbH, Marburg 
25","","551","100"
"Siemens Healthcare GmbH, München 
–","","325","100"
"Siemens Healthineers AG, München 
887","","25.159","75"
"Siemens Healthineers Beteiligungen GmbH & Co. KG, Röttenbach 
789","","25.518","100"
"Siemens Healthineers Holding I GmbH, München 
2","","-4.729","100"
"Siemens Healthineers Holding III GmbH, München 
–","","6.408","100"
"Siemens Healthineers Innovation GmbH & Co. KG, Röttenbach 
593","","609","100"
"Siemens Immobilien Besitz GmbH & Co. KG, Grünwald 
24","","107","100"
"Siemens Industry Software GmbH, Köln 
-13","","275","100"
"Siemens Mobility GmbH, München 
-314","","2.338","100"
"Siemens Mobility Real Estate GmbH & Co. KG, Grünwald 
9","","120","100"
"Siemens Nixdorf Informationssysteme GmbH, Grünwald 
1","","30","100"
"Siemens Project Ventures GmbH, Erlangen 
-66","","233","100"
"Siemens Real Estate GmbH & Co. KG, Kemnath 
20","","165","100"
"Siemens Trademark GmbH & Co. KG, Kemnath 
1.136","","3.638","100"
"Siemens Treasury GmbH, München 
2","","8","100"
"SIM 2. Grundstücks-GmbH & Co. KG, Grünwald 
8","","313","100 5"
"SIMAR Ost Grundstücks-GmbH, Grünwald 
2","","-28","100"
"SPT Beteiligungen GmbH & Co. KG, Grünwald 
363","","5.658","100 5"
"Varian Medical Systems Particle Therapy GmbH & Co. KG, Troisdorf 
-9","","99","100"
"VMS Deutschland Holdings GmbH, Darmstadt 
-31","","409","100"
"Zeleni Holding GmbH, Kemnath 
-2","","294","100"
"Zeleni Real Estate GmbH & Co. KG, Kemnath 
14","","273","100"
"Europa, Gemeinschaft Unabhängiger Staaten (GUS), Afrika, Naher und Mittlerer Osten 
 
(ohne Deutschland) (99 Gesellschaften)","","",""
"Siemens Mobility Egypt LLC, Kairo / Ägypten 
29","","40","100"
