"Siemens Canada Limited, Oakville / Kanada","60","194","100"
"Siemens Financial Ltd., Oakville / Kanada","29","524","100"
"Siemens Healthcare Limited, Oakville / Kanada","17","85","100"
"Siemens S.A.S., Tenjo / Kolumbien","4","42","100"
"Grupo Siemens S.A. de C.V., Mexiko-Stadt / Mexiko","75","86","100"
"Siemens Inmobiliaria S.A. de C.V., Mexiko-Stadt / Mexiko","–","15","100"
"Siemens, S.A. de C.V., Mexiko-Stadt / Mexiko","81","120","100"
"Associates in Medical Physics, LLC, Greenbelt, MD / USA","–","92","100"
"Block Imaging Parts & Service, LLC, Holt, MI / USA","-7","143","100"
"Brightly Software, Inc., Wilmington, DE / USA","3","-106","100"
"Building Robotics Inc., Wilmington, DE / USA","-31","-94","100"
"Corindus, Inc., Wilmington, DE / USA","-36","131","100"
"ECG Acquisition, Inc., Wilmington, DE / USA","–","176","100"
"ECG TopCo Holdings, LLC, Wilmington, DE / USA","-36","1","83"
"Electrify America, LLC, Wilmington, DE / USA","-64","782","9 4"
"Fluence Energy, Inc., Wilmington, DE / USA","-99","525","29 5"
"Healthcare Technology Management, LLC, Wilmington, DE / USA","-2","142","78"
"Heliox Technology Inc., Dover, DE / USA","-8","44","100"
"HistoSonics, Inc., Wilmington, DE / USA","k. A.","k. A.","7"
"Innomotics LLC, Wilmington, DE / USA","77","30","100"
"Mannesmann Corporation, New York, NY / USA","2","48","100"
"Medical Physics Holdings, LLC, Dover, DE / USA","-1","93","100"
"Next47 Fund 2018, L.P., Palo Alto, CA / USA","–","39","100"
"Next47 Fund 2019, L.P., Palo Alto, CA / USA","–","70","100"
"Next47 Fund 2020, L.P., Palo Alto, CA / USA","–","110","100"
"Next47 Fund 2021, L.P., Palo Alto, CA / USA","-1","130","100"
"Next47 Fund 2022, L.P., Palo Alto, CA / USA","-2","108","100"
"Next47 Fund 2024, L.P., Palo Alto, CA / USA","-4","104","100"
"PETNET Solutions, Inc., Knoxville, TN / USA","77","197","100"
"Siemens Capital Company LLC, Wilmington, DE / USA","28","1.736","100"
"Siemens Corporation, Wilmington, DE / USA","2.309","8.577","100"
"Siemens Financial Services, Inc., Wilmington, DE / USA","184","1.996","100"
"Siemens Government Technologies, Inc., Wilmington, DE / USA","23","80","100"
"Siemens Healthcare Diagnostics Inc., Los Angeles, CA / USA","-101","6.868","100"
"Siemens Healthineers Holdings, LLC, Wilmington, DE / USA","–","13.895","100"
"Siemens Industry Software Inc., Wilmington, DE / USA","804","3.942","100"
"Siemens Industry, Inc., Wilmington, DE / USA","3.800","7.148","100"
"Siemens Logistics LLC, Wilmington, DE / USA","22","9","100"
"Siemens Medical Solutions USA, Inc., Wilmington, DE / USA","225","17.062","100"
"Siemens Mobility, Inc, Wilmington, DE / USA","-5","938","100"
"Siemens Public, Inc., Iselin, NJ / USA","44","1.626","100"
"Siemens USA Holdings, Inc., Wilmington, DE / USA","–","10.417","100"
"SMI Holding LLC, Wilmington, DE / USA","-2","7","100"
"Supplyframe, Inc., Glendale, CA / USA","-47","-104","100"
"Thoughtworks Holding Inc., Wilmington, DE / USA","-62","700","7 6"
"Varian Medical Systems International Holdings, Inc., Wilmington, DE / USA","–","6.410","100"
"Varian Medical Systems, Inc., Wilmington, DE / USA","19","7.551","100"
"Asien, Australien (50 Gesellschaften)","","",""
"Brightly Software Australia Pty Ltd, Sydney / Australien","-2","80","100"
"Brightly Software Holdings Pty. Ltd., Sydney / Australien","–","94","100"
"Innomotics Pty Ltd, Bayswater / Australien","9","10","100"
"Siemens Ltd., Bayswater / Australien","26","102","100"
"Siemens Mobility Pty Ltd, Melbourne / Australien","36","183","100"
"Beijing Siemens Cerberus Electronics Ltd., Peking / China","29","34","100"
"Innomotics Electrical Large Drives (Shanghai) Ltd., Shanghai / China","40","43","100"
