"15 
Eigenkapital","",""
"Gezeichnetes Kapital1","2.400","2.400"
"Eigene Aktien","-45","-30"
"Ausgegebenes Kapital","2.355","2.370"
"Kapitalrücklage","8.903","8.737"
"Andere Gewinnrücklagen","6.991","6.555"
"Bilanzgewinn","4.160","3.760"
"","22.409","21.422"
"Sonderposten mit Rücklageanteil","539","540"
"Rückstellungen","",""
"Rückstellungen für Pensionen und ähnliche Verpflichtungen 
16","13.248","13.604"
"Steuerrückstellungen","401","680"
"Sonstige Rückstellungen 
17","3.555","3.987"
"","17.204","18.270"
"18 
Verbindlichkeiten","",""
"Verbindlichkeiten gegenüber Kreditinstituten","240","339"
"Verbindlichkeiten aus Lieferungen und Leistungen","1.727","2.374"
"Verbindlichkeiten gegenüber verbundenen Unternehmen","55.449","59.483"
"Übrige Verbindlichkeiten","1.396","1.222"
"","58.811","63.417"
"Rechnungsabgrenzungsposten","225","235"
"Summe Passiva","99.188","103.884"
