"(in Mio. €)","2024","2023"
"Erträge aus Beteiligungen","3.310","2.907"
"davon aus verbundenen Unternehmen","3.310","2.905"
"Erträge aus Gewinnabführungsverträgen mit verbundenen Unternehmen","1.327","1.562"
"Aufwendungen aus Verlustübernahmen von verbundenen Unternehmen","-43","–"
"Abschreibungen auf Beteiligungen","-334","-179"
"Zuschreibungen auf Beteiligungen","1.113","224"
"Gewinne aus dem Abgang von Beteiligungen","1.451","240"
"Verluste aus dem Abgang von Beteiligungen","-2","-19"
"Beteiligungsergebnis","6.821","4.734"
